  NO     TB   C1    K1   C2    K2   F
 430   3624    1  3648    0     0   0
 431   3880    1  3904    0     0   0
 432   4264    1  4288    0     0   0
 433   4584    1  4608    0     0   0
 434   4968    1  4992    0     0   0
 435   5160    1  5184    0     0   0
 436   5544    1  5568    0     0   0
 437   5992    1  6016    0     0   0
 438   6200    2  3136    0  3072   0
 439   6456    2  3264    0  3200   0
 440   4008    1  4032    0     0   0
 441   4392    1  4416    0     0   0
 442   4776    1  4800    0     0   0
 443   5160    1  5184    0     0   0
 444   5352    1  5376    0     0   0
 445   5736    1  5760    0     0   0
 446   6200    2  3136    0  3072   0
 447   6456    2  3264    0  3200   0
 448   6712    2  3392    0  3328   0
 449   7224    2  3648    0  3584   0
 450   4392    1  4416    0     0   0
 451   4776    1  4800    0     0   0
 452   5160    1  5184    0     0   0
 453   5544    1  5568    0     0   0
 454   5992    1  6016    0     0   0
 455   6200    2  3136    0  3072   0
 456   6712    2  3392    0  3328   0
 457   7224    2  3648    0  3584   0
 458   7480    2  3776    0  3712   0
 459   7992    2  4032    0  3968   0
 460   4776    1  4800    0     0   0
 461   5160    1  5184    0     0   0
 462   5544    1  5568    0     0   0
 463   5992    1  6016    0     0   0
 464   6456    2  3264    0  3200   0
 465   6968    2  3520    0  3456   0
 466   7224    2  3648    0  3584   0
 467   7736    2  3904    0  3840   0
 468   8248    2  4160    0  4096   0
 469   8504    2  4288    0  4224   0
 470   5160    1  5184    0     0   0
 471   5544    1  5568    0     0   0
 472   5992    1  6016    0     0   0
 473   6456    2  3264    0  3200   0
 474   6968    2  3520    0  3456   0
 475   7480    2  3776    0  3712   0
 476   7992    2  4032    0  3968   0
 477   8248    2  4160    0  4096   0
 478   8760    2  4416    0  4352   0
 479   9144    2  4608    0  4544   0
 480   5544    1  5568    0     0   0
 481   5992    1  6016    0     0   0
 482   6456    2  3264    0  3200   0
 483   6968    2  3520    0  3456   0
 484   7480    2  3776    0  3712   0
 485   7992    2  4032    0  3968   0
 486   8504    2  4288    0  4224   0
 487   9144    2  4608    0  4544   0
 488   9528    2  4800    0  4736   0
 489   9912    2  4992    0  4928   0
 490   5992    1  6016    0     0   0
 491   6456    2  3264    0  3200   0
 492   6968    2  3520    0  3456   0
 493   7480    2  3776    0  3712   0
 494   7992    2  4032    0  3968   0
 495   8504    2  4288    0  4224   0
 496   9144    2  4608    0  4544   0
 497   9528    2  4800    0  4736   0
 498  10296    2  5184    0  5120   0
 499  10680    2  5376    0  5312   0
 500   6200    2  3136    0  3072   0
 501   6968    2  3520    0  3456   0
 502   7480    2  3776    0  3712   0
 503   7992    2  4032    0  3968   0
 504   8504    2  4288    0  4224   0
 505   9144    2  4608    0  4544   0
 506   9912    2  4992    0  4928   0
 507  10296    2  5184    0  5120   0
 508  11064    2  5568    0  5504   0
 509  11448    2  5760    0  5696   0
 510   6712    2  3392    0  3328   0
 511   7224    2  3648    0  3584   0
 512   7992    2  4032    0  3968   0
 513   8504    2  4288    0  4224   0
 514   9144    2  4608    0  4544   0
 515   9912    2  4992    0  4928   0
 516  10296    2  5184    0  5120   0
 517  11064    2  5568    0  5504   0
 518  11448    2  5760    0  5696   0
 519  12216    2  6144    0  6080   0
 520   6968    2  3520    0  3456   0
 521   7480    2  3776    0  3712   0
 522   8248    2  4160    0  4096   0
 523   8760    2  4416    0  4352   0
 524   9528    2  4800    0  4736   0
 525  10296    2  5184    0  5120   0
 526  10680    2  5376    0  5312   0
 527  11448    2  5760    0  5696   0
 528  12216    2  6144    0  6080   0
 529  12576    3  4224    0  4160   0
 530   8248    2  4160    0  4096   0
 531   8760    2  4416    0  4352   0
 532   9528    2  4800    0  4736   0
 533  10296    2  5184    0  5120   0
 534  11064    2  5568    0  5504   0
 535  11832    2  5952    0  5888   0
 536  12576    3  4224    0  4160   0
 537  13536    3  4544    0  4480   0
 538  14112    3  4736    0  4672   0
 539  14688    3  4928    0  4864   0
 540    568    1   592    0     0   0
 541    600    1   624    0     0   0
 542    616    1   640    0     0   0
 543    648    1   672    0     0   0
 544    680    1   704    0     0   0
 545    712    1   736    0     0   0
 546    744    1   768    0     0   0
 547    776    1   800    0     0   0
 548    776    1   800    0     0   0
 549    808    1   832    0     0   0
 550    744    1   768    0     0   0
 551    776    1   800    0     0   0
 552    808    1   832    0     0   0
 553    872    1   896    0     0   0
 554    904    1   928    0     0   0
